duplicate_group,image_key,image_id,dataset,duplicate_type,review_status
exact_016d1670c190,aptos__b0f3806adb3f7235,530d78467615,aptos,exact_sha256,automatic_exact_match
exact_016d1670c190,aptos__00cf743257d485ed,c1c8550508e0,aptos,exact_sha256,automatic_exact_match
exact_01f04eb1f0de,aptos__41d4aaeb0a1dc62b,8d3d67661620,aptos,exact_sha256,automatic_exact_match
exact_01f04eb1f0de,aptos__35a3aebba1b6b791,1248275c3f91,aptos,exact_sha256,automatic_exact_match
exact_022b0e0373dd,aptos__6c7510d3d6781285,0ac436400db4,aptos,exact_sha256,automatic_exact_match
exact_022b0e0373dd,aptos__6a7c5011a3db4b4f,fda39982a810,aptos,exact_sha256,automatic_exact_match
exact_032dc113c5f9,aptos__7b053c0edaed6e6e,a49b0b4484ea,aptos,exact_sha256,automatic_exact_match
exact_032dc113c5f9,aptos__59600e68271eba7a,be71e340dbaa,aptos,exact_sha256,automatic_exact_match
exact_0351e83371a7,aptos__633c9cba342deefe,ad570b850a4f,aptos,exact_sha256,automatic_exact_match
exact_0351e83371a7,aptos__57cb2c73b88c157b,4f985a7320d9,aptos,exact_sha256,automatic_exact_match
exact_045ca0250e16,aptos__11ece239a111fb42,9e3510963315,aptos,exact_sha256,automatic_exact_match
exact_045ca0250e16,aptos__4ddde1e64d93d988,b187b3c93afb,aptos,exact_sha256,automatic_exact_match
exact_04bbfed5d2cd,aptos__a1aa32708a61ea06,3b4a5fcbe5e0,aptos,exact_sha256,automatic_exact_match
exact_04bbfed5d2cd,aptos__2acc5883552e7417,3ca637fddd56,aptos,exact_sha256,automatic_exact_match
exact_04c59d2abb62,aptos__25569eea0374e6ec,513b0a4651fa,aptos,exact_sha256,automatic_exact_match
exact_04c59d2abb62,aptos__dc578509425a9414,1e04a80f12dd,aptos,exact_sha256,automatic_exact_match
exact_05ec253d52e3,aptos__fcad379f60f3d69d,38b9bb961847,aptos,exact_sha256,automatic_exact_match
exact_05ec253d52e3,aptos__730ce96d1e77bdc0,4fdd1ca8bd89,aptos,exact_sha256,automatic_exact_match
exact_05f8b279a9fb,aptos__aeabc34a0f28dc77,22098b1fe461,aptos,exact_sha256,automatic_exact_match
exact_05f8b279a9fb,aptos__036d4c1dcd06aef4,16ae04d67de3,aptos,exact_sha256,automatic_exact_match
exact_0987b2b0c388,aptos__d45c3d138733d7a3,02dda30d3acf,aptos,exact_sha256,automatic_exact_match
exact_0987b2b0c388,aptos__3336d2e018a5e6ec,368271b942fb,aptos,exact_sha256,automatic_exact_match
exact_099293bd82c9,aptos__daa861e87557283c,43fb6eda9b97,aptos,exact_sha256,automatic_exact_match
exact_099293bd82c9,aptos__86285162c6641330,e4e343eaae2a,aptos,exact_sha256,automatic_exact_match
exact_0a9a014e61ea,aptos__e82bcb09f9d215d8,bcdc8db5423b,aptos,exact_sha256,automatic_exact_match
exact_0a9a014e61ea,aptos__6a3bd78b8ee5aa72,f920ccd926db,aptos,exact_sha256,automatic_exact_match
exact_0b29f2279bf8,aptos__555d3b2a415520e5,54bbe3da103e,aptos,exact_sha256,automatic_exact_match
exact_0b29f2279bf8,aptos__2f6e4b3d4899e21b,9a33293f90b5,aptos,exact_sha256,automatic_exact_match
exact_0bf7ae5a4007,aptos__61e0bd2e5e5c1ea0,38e0e28d35d3,aptos,exact_sha256,automatic_exact_match
exact_0bf7ae5a4007,aptos__a548109a42fd30dd,21d65a5b8d67,aptos,exact_sha256,automatic_exact_match
exact_0ddc4d1b0508,aptos__14c46fd1bc3d4a53,0dce95217626,aptos,exact_sha256,automatic_exact_match
exact_0ddc4d1b0508,aptos__ed0e3d8fac80f174,94372043d55b,aptos,exact_sha256,automatic_exact_match
exact_0e4a0e5a3a8c,aptos__2f472200d39ce932,71c1a3cdbe47,aptos,exact_sha256,automatic_exact_match
exact_0e4a0e5a3a8c,aptos__0810684e1e857922,79ce83c07588,aptos,exact_sha256,automatic_exact_match
