dataset,model_split,label_dr_standard,images
aptos,excluded,,1928
aptos,train,0.0,1446
aptos,train,1.0,308
aptos,train,2.0,824
aptos,train,3.0,158
aptos,train,4.0,242
aptos,validation,0.0,359
aptos,validation,1.0,62
aptos,validation,2.0,175
aptos,validation,3.0,35
aptos,validation,4.0,53
eyepacs,train,0.0,20648
eyepacs,train,1.0,1954
eyepacs,train,2.0,4234
eyepacs,train,3.0,698
eyepacs,train,4.0,566
eyepacs,validation,0.0,5162
eyepacs,validation,1.0,489
eyepacs,validation,2.0,1058
eyepacs,validation,3.0,175
eyepacs,validation,4.0,142
idrid,test,1.0,1
idrid,test,2.0,16
idrid,test,3.0,6
idrid,test,4.0,4
idrid,train,1.0,1
idrid,train,2.0,18
idrid,train,3.0,16
idrid,train,4.0,19
messidor2,train,0.0,814
messidor2,train,1.0,216
messidor2,train,2.0,280
messidor2,train,3.0,60
messidor2,train,4.0,28
messidor2,validation,0.0,203
messidor2,validation,1.0,54
messidor2,validation,2.0,67
messidor2,validation,3.0,15
messidor2,validation,4.0,7
