image_key,image_id,dataset,sha256,perceptual_hash
aptos__c8827d05711175da,001639a390f0,aptos,9e4a10bcf0569bd7640ff3107601cb00c1147c44de5d3e0c469d9d38f1fdc1c5,f8f8fcecacfefcec
aptos__11b2efaae2c39263,005b95c28852,aptos,4af20410946f8730d1a9c13361a0b4604c5934c325890b6ddd85b39627c6a0e8,3060e0c0c8e07070
aptos__f9409e06017fe46c,002c21358ce6,aptos,c18a236541ae3d3ddbf8cf3eae991b4ff28446c5313b3dc2afa2506fa4cb60c1,f0f0e0c0c4c0e0f0
aptos__2b8228ecc008b575,0024cdab0c1e,aptos,ef0bda2c21f3dbe839b4e5168fa7e52afe61e6923a56fd625bba0ddc1665d1d8,fcfef8b8bcfefefc
aptos__8a58801bb4e89fda,000c1434d8d7,aptos,3f34b577a7102dddea20d2aaed76028bcf724ddb82e923b5699474d3272510f9,c4c0e0a0a2c2c2e4
aptos__56f97594ad38fa59,00a8624548a9,aptos,d58fa57e455fc0111d212e0a4836c8881e4c3cb4f79f45191a31ad78b0da0f8e,e8f0e0e0c0c8c0e0
aptos__9b0b1f3110f4a445,0097f532ac9f,aptos,0ce92059990bb2aa444f45d73f074df40347c028ba284760807b727ab7bc8cf9,f0f0f0f0eef0f0f0
aptos__73fd205e1180581e,00b74780d31d,aptos,118e5fbcd5bb9debc239936df754b1fbe5a6eb1de9c5e6d1554f8feef1fc1ad8,f8e4e6cfdffefef8
aptos__2bc5841cf5eee5f8,00cb6555d108,aptos,9c65ab7f50a548906ead65e9fd41f497c6cebd61f557255b1627c16df49f79a5,c080b08888c0a0c4
aptos__8229f86f94c8c7e2,00cc2b75cddd,aptos,7124085934ea3f9e2be733cface038431cedb93255f251a7d956f003912ab4b3,f0e0e0c0c2e0f0f0
aptos__6ce14f7a48048daf,00f6c1be5a33,aptos,be0944adbd2df77eb34fd23e59ee896c2768b048b44492292b2e4b612bfacc44,f0f8f0e0e0f0f0f0
aptos__2a1c2e5e9b4f774b,0083ee8054ee,aptos,47cc5ecdd63df3daf7174d51366100b726cc95a910527b29d259308b1dc3c498,c0f0f0e0e4cce0e8
aptos__9ee0f282dfbe9e5f,00e4ddff966a,aptos,c50cac0cf3ea872451150ed0cf4b56640acb9c1d69f7f3e96c11526a67b662dd,f2f0f8f8fccc88c0
aptos__36b2b6bb74579f7d,0125fbd2e791,aptos,794e17c9a57650e2ad322774f065323c9fad45fbfc3f459eafea5b86d885e598,f0e0c0c0c4c0e0f0
