image_key,image_id_x,dataset_x,sha256,perceptual_hash,image_id_y,dataset_y,image_path,processed_path,model_split,manual_decision,action
eyepacs__ab6caf9ec3556759,15873_left,eyepacs,6775d5b57affc7bc76c2dd311a1d9182ae696dc51c60df6e7c50cdda4c3ce25b,3070e0e0e0e07070,15873_left,eyepacs,data/raw/eyepacs/data/15873_left.jpeg,data/processed/images/eyepacs/eyepacs__ab6caf9ec3556759.jpg,train,not_reviewed,do_not_remove_automatically
eyepacs__b42dad2b1988207c,19928_left,eyepacs,795a9c0f56935a06b145f7e36a7f42387b6e4a370edd9df778ba886f4c12eb56,3070e0e0e0e07070,19928_left,eyepacs,data/raw/eyepacs/data/19928_left.jpeg,data/processed/images/eyepacs/eyepacs__b42dad2b1988207c.jpg,train,not_reviewed,do_not_remove_automatically
eyepacs__8f01946c6ed0fd8e,22920_left,eyepacs,aa93f2679328132c984020a96e3ba87665b0d2cd7e6d6341b5c84dab9275fcb5,3070e0e0e0e07070,22920_left,eyepacs,data/raw/eyepacs/data/22920_left.jpeg,data/processed/images/eyepacs/eyepacs__8f01946c6ed0fd8e.jpg,train,not_reviewed,do_not_remove_automatically
eyepacs__6ad4c1cee483765a,32758_left,eyepacs,e435de77b4160d92d7691b1c3c700175c7389dcda31c8ec64b231c5af61a4f0c,3070e0e0e0e07070,32758_left,eyepacs,data/raw/eyepacs/data/32758_left.jpeg,data/processed/images/eyepacs/eyepacs__6ad4c1cee483765a.jpg,train,not_reviewed,do_not_remove_automatically
eyepacs__3cd9a48fbb87881e,4805_left,eyepacs,b9d836453c28eae1085dbd1d98fa8574cd268472fe51ebb364343b651b7f1324,3070e0e0e0e07070,4805_left,eyepacs,data/raw/eyepacs/data/4805_left.jpeg,data/processed/images/eyepacs/eyepacs__3cd9a48fbb87881e.jpg,train,not_reviewed,do_not_remove_automatically
eyepacs__701c1235efc31733,35464_left,eyepacs,dae9517820366bed3dd8ac3c7dfd624ffedc6a7fd172399a98002fe1ad1e1b16,3070e0e0e0e07070,35464_left,eyepacs,data/raw/eyepacs/data/35464_left.jpeg,data/processed/images/eyepacs/eyepacs__701c1235efc31733.jpg,train,not_reviewed,do_not_remove_automatically
eyepacs__e4dac3f43d2d670b,32787_left,eyepacs,2564ab005fcba45286b91e11c226558237de05d4c41f46a05a91b9a89e60996e,3070e0e0e0e07070,32787_left,eyepacs,data/raw/eyepacs/data/32787_left.jpeg,data/processed/images/eyepacs/eyepacs__e4dac3f43d2d670b.jpg,train,not_reviewed,do_not_remove_automatically
eyepacs__4cb55ae252af2c21,41080_left,eyepacs,2550f86b125ef9022a644c0ab0415b57f35096a671c16aa9f74c5bb43643ed56,3070e0e0e0e07070,41080_left,eyepacs,data/raw/eyepacs/data/41080_left.jpeg,data/processed/images/eyepacs/eyepacs__4cb55ae252af2c21.jpg,train,not_reviewed,do_not_remove_automatically
eyepacs__745726aeb13fc457,4784_left,eyepacs,549c6d962e9df0223171a12d7b2a09a13eada90a31951af52c4d31577511b541,3070e0e0e0e07070,4784_left,eyepacs,data/raw/eyepacs/data/4784_left.jpeg,data/processed/images/eyepacs/eyepacs__745726aeb13fc457.jpg,validation,not_reviewed,do_not_remove_automatically
eyepacs__a132272950771fae,18473_left,eyepacs,5fbca837d968b062e08a0cab5f8a48c1cac07fc228b06e07b430d820d60b6c29,3070e0e0e0e07070,18473_left,eyepacs,data/raw/eyepacs/data/18473_left.jpeg,data/processed/images/eyepacs/eyepacs__a132272950771fae.jpg,train,not_reviewed,do_not_remove_automatically
eyepacs__c23033c1f08b81d1,36955_left,eyepacs,b599d6cd8f71d22304e074a266916228a2fe73b9fce08bf602abb0a2dac6ca3b,3070e0e0e0e07070,36955_left,eyepacs,data/raw/eyepacs/data/36955_left.jpeg,data/processed/images/eyepacs/eyepacs__c23033c1f08b81d1.jpg,validation,not_reviewed,do_not_remove_automatically
eyepacs__8768b7d965c8e41a,43352_left,eyepacs,282778c1a15aeb7618d55c34b925b654a4012c345420d8f7bb475da7276ad476,3070e0e0e0e07070,43352_left,eyepacs,data/raw/eyepacs/data/43352_left.jpeg,data/processed/images/eyepacs/eyepacs__8768b7d965c8e41a.jpg,train,not_reviewed,do_not_remove_automatically
eyepacs__bba419acfaec10d0,446_left,eyepacs,96e16a1c37e24888afc6c00a83027a33096c200fed2acd5b9c0f203456c19b1a,3070e0e0e0e07070,446_left,eyepacs,data/raw/eyepacs/data/446_left.jpeg,data/processed/images/eyepacs/eyepacs__bba419acfaec10d0.jpg,train,not_reviewed,do_not_remove_automatically
eyepacs__0b6f618a46bcfcdb,16405_left,eyepacs,7c9be72ea023eef0a1bcb5d6e0be32840f0871d2900979bb6fc9e782d5e253c0,3070e0e0e0e07070,16405_left,eyepacs,data/raw/eyepacs/data/16405_left.jpeg,data/processed/images/eyepacs/eyepacs__0b6f618a46bcfcdb.jpg,train,not_reviewed,do_not_remove_automatically
eyepacs__36b1a31bcc2899cc,38407_left,eyepacs,55020a3879a615957a4b55b14367f9e7d56c65ea3a8cc694d399b09e27f3562c,3070e0e0e0e07070,38407_left,eyepacs,data/raw/eyepacs/data/38407_left.jpeg,data/processed/images/eyepacs/eyepacs__36b1a31bcc2899cc.jpg,train,not_reviewed,do_not_remove_automatically
eyepacs__a56e889d28a5672b,18745_left,eyepacs,27014889cc078bc5dcc46c569c1688efbb9cd3fb09252844b05e41679813dbd5,3070e0e0e0e07070,18745_left,eyepacs,data/raw/eyepacs/data/18745_left.jpeg,data/processed/images/eyepacs/eyepacs__a56e889d28a5672b.jpg,train,not_reviewed,do_not_remove_automatically
eyepacs__b5e1017c3d104516,14144_left,eyepacs,01873b7a41a0d4fd9c6b5c3565b241f85c93383948201ed0a724c21e25913360,3070e0e0e0e07070,14144_left,eyepacs,data/raw/eyepacs/data/14144_left.jpeg,data/processed/images/eyepacs/eyepacs__b5e1017c3d104516.jpg,train,not_reviewed,do_not_remove_automatically
eyepacs__3b5c963f5038dedb,36500_left,eyepacs,58ebb8255a707c98e7606cb857f498605b3525110207cdc8fc7c4f9876f8482b,3070e0e0e0e07070,36500_left,eyepacs,data/raw/eyepacs/data/36500_left.jpeg,data/processed/images/eyepacs/eyepacs__3b5c963f5038dedb.jpg,train,not_reviewed,do_not_remove_automatically
