dataset,model_split,label_dr_standard,images
aptos,excluded,,1928
aptos,train,0,1444
aptos,train,1,296
aptos,train,2,799
aptos,train,3,154
aptos,train,4,236
aptos,validation,0,361
aptos,validation,1,74
aptos,validation,2,200
aptos,validation,3,39
aptos,validation,4,59
eyepacs,train,0,20648
eyepacs,train,1,1954
eyepacs,train,2,4234
eyepacs,train,3,698
eyepacs,train,4,566
eyepacs,validation,0,5162
eyepacs,validation,1,489
eyepacs,validation,2,1058
eyepacs,validation,3,175
eyepacs,validation,4,142
idrid,test,1,1
idrid,test,2,16
idrid,test,3,6
idrid,test,4,4
idrid,train,1,1
idrid,train,2,18
idrid,train,3,16
idrid,train,4,19
messidor2,train,0,814
messidor2,train,1,216
messidor2,train,2,278
messidor2,train,3,60
messidor2,train,4,28
messidor2,validation,0,203
messidor2,validation,1,54
messidor2,validation,2,69
messidor2,validation,3,15
messidor2,validation,4,7
