dataset,label_dr,label_dr_standard,dr_grade_name,mapping_rule,verification_status,official_source_name,official_source_url,official_definition,verified_on
aptos,0.0,0.0,No DR,Original source grade retained as the unified 0–4 DR grade,Verified against official competition data description,APTOS 2019 Blindness Detection — Kaggle,https://www.kaggle.com/competitions/aptos2019-blindness-detection/data,0 = No DR; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Proliferative DR.,2026-08-23
aptos,1.0,1.0,Mild DR,Original source grade retained as the unified 0–4 DR grade,Verified against official competition data description,APTOS 2019 Blindness Detection — Kaggle,https://www.kaggle.com/competitions/aptos2019-blindness-detection/data,0 = No DR; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Proliferative DR.,2026-08-23
aptos,2.0,2.0,Moderate DR,Original source grade retained as the unified 0–4 DR grade,Verified against official competition data description,APTOS 2019 Blindness Detection — Kaggle,https://www.kaggle.com/competitions/aptos2019-blindness-detection/data,0 = No DR; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Proliferative DR.,2026-08-23
aptos,3.0,3.0,Severe DR,Original source grade retained as the unified 0–4 DR grade,Verified against official competition data description,APTOS 2019 Blindness Detection — Kaggle,https://www.kaggle.com/competitions/aptos2019-blindness-detection/data,0 = No DR; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Proliferative DR.,2026-08-23
aptos,4.0,4.0,Proliferative DR,Original source grade retained as the unified 0–4 DR grade,Verified against official competition data description,APTOS 2019 Blindness Detection — Kaggle,https://www.kaggle.com/competitions/aptos2019-blindness-detection/data,0 = No DR; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Proliferative DR.,2026-08-23
eyepacs,0.0,0.0,No DR,Original source grade retained as the unified 0–4 DR grade,Verified: five ordered DR grades mapped to 0–4,Diabetic Retinopathy Detection — EyePACS/Kaggle,https://www.kaggle.com/competitions/diabetic-retinopathy-detection,"Five ordered DR-severity levels, retained as the project 0–4 unified DR-grade scale.",2026-08-23
eyepacs,1.0,1.0,Mild DR,Original source grade retained as the unified 0–4 DR grade,Verified: five ordered DR grades mapped to 0–4,Diabetic Retinopathy Detection — EyePACS/Kaggle,https://www.kaggle.com/competitions/diabetic-retinopathy-detection,"Five ordered DR-severity levels, retained as the project 0–4 unified DR-grade scale.",2026-08-23
eyepacs,2.0,2.0,Moderate DR,Original source grade retained as the unified 0–4 DR grade,Verified: five ordered DR grades mapped to 0–4,Diabetic Retinopathy Detection — EyePACS/Kaggle,https://www.kaggle.com/competitions/diabetic-retinopathy-detection,"Five ordered DR-severity levels, retained as the project 0–4 unified DR-grade scale.",2026-08-23
eyepacs,3.0,3.0,Severe DR,Original source grade retained as the unified 0–4 DR grade,Verified: five ordered DR grades mapped to 0–4,Diabetic Retinopathy Detection — EyePACS/Kaggle,https://www.kaggle.com/competitions/diabetic-retinopathy-detection,"Five ordered DR-severity levels, retained as the project 0–4 unified DR-grade scale.",2026-08-23
eyepacs,4.0,4.0,Proliferative DR,Original source grade retained as the unified 0–4 DR grade,Verified: five ordered DR grades mapped to 0–4,Diabetic Retinopathy Detection — EyePACS/Kaggle,https://www.kaggle.com/competitions/diabetic-retinopathy-detection,"Five ordered DR-severity levels, retained as the project 0–4 unified DR-grade scale.",2026-08-23
idrid,1.0,1.0,Mild DR,Original source grade retained as the unified 0–4 DR grade,Verified against official IDRiD documentation,IDRiD Dataset — Grand Challenge,https://idrid.grand-challenge.org/Data/,DR severity is graded on the International Clinical Diabetic Retinopathy Scale using grades 0–4.,2026-08-23
idrid,2.0,2.0,Moderate DR,Original source grade retained as the unified 0–4 DR grade,Verified against official IDRiD documentation,IDRiD Dataset — Grand Challenge,https://idrid.grand-challenge.org/Data/,DR severity is graded on the International Clinical Diabetic Retinopathy Scale using grades 0–4.,2026-08-23
idrid,3.0,3.0,Severe DR,Original source grade retained as the unified 0–4 DR grade,Verified against official IDRiD documentation,IDRiD Dataset — Grand Challenge,https://idrid.grand-challenge.org/Data/,DR severity is graded on the International Clinical Diabetic Retinopathy Scale using grades 0–4.,2026-08-23
idrid,4.0,4.0,Proliferative DR,Original source grade retained as the unified 0–4 DR grade,Verified against official IDRiD documentation,IDRiD Dataset — Grand Challenge,https://idrid.grand-challenge.org/Data/,DR severity is graded on the International Clinical Diabetic Retinopathy Scale using grades 0–4.,2026-08-23
messidor2,0.0,0.0,No DR,Original source grade retained as the unified 0–4 DR grade,Verified: adjudicated DR severity mapped to 0–4,MESSIDOR-2 DR Grades — Google Brain/Kaggle,https://www.kaggle.com/datasets/google-brain/messidor2-dr-grades,Adjudicated DR severity is retained as the project 0–4 unified DR-grade scale.,2026-08-23
messidor2,1.0,1.0,Mild DR,Original source grade retained as the unified 0–4 DR grade,Verified: adjudicated DR severity mapped to 0–4,MESSIDOR-2 DR Grades — Google Brain/Kaggle,https://www.kaggle.com/datasets/google-brain/messidor2-dr-grades,Adjudicated DR severity is retained as the project 0–4 unified DR-grade scale.,2026-08-23
messidor2,2.0,2.0,Moderate DR,Original source grade retained as the unified 0–4 DR grade,Verified: adjudicated DR severity mapped to 0–4,MESSIDOR-2 DR Grades — Google Brain/Kaggle,https://www.kaggle.com/datasets/google-brain/messidor2-dr-grades,Adjudicated DR severity is retained as the project 0–4 unified DR-grade scale.,2026-08-23
messidor2,3.0,3.0,Severe DR,Original source grade retained as the unified 0–4 DR grade,Verified: adjudicated DR severity mapped to 0–4,MESSIDOR-2 DR Grades — Google Brain/Kaggle,https://www.kaggle.com/datasets/google-brain/messidor2-dr-grades,Adjudicated DR severity is retained as the project 0–4 unified DR-grade scale.,2026-08-23
messidor2,4.0,4.0,Proliferative DR,Original source grade retained as the unified 0–4 DR grade,Verified: adjudicated DR severity mapped to 0–4,MESSIDOR-2 DR Grades — Google Brain/Kaggle,https://www.kaggle.com/datasets/google-brain/messidor2-dr-grades,Adjudicated DR severity is retained as the project 0–4 unified DR-grade scale.,2026-08-23
