image_key,processed_path,processed_width,processed_height,processed_format,preprocess_status
aptos__8229f86f94c8c7e2,data/processed/images/aptos/aptos__8229f86f94c8c7e2.jpg,224,224,JPEG,already_exists
aptos__c017cea590a53220,data/processed/images/aptos/aptos__c017cea590a53220.jpg,224,224,JPEG,already_exists
aptos__95dc1e7867b42101,data/processed/images/aptos/aptos__95dc1e7867b42101.jpg,224,224,JPEG,already_exists
aptos__d3242a37c2b5cbbe,data/processed/images/aptos/aptos__d3242a37c2b5cbbe.jpg,224,224,JPEG,already_exists
aptos__56f97594ad38fa59,data/processed/images/aptos/aptos__56f97594ad38fa59.jpg,224,224,JPEG,already_exists
aptos__c81268151ebf13c7,data/processed/images/aptos/aptos__c81268151ebf13c7.jpg,224,224,JPEG,already_exists
aptos__c3165be811e0022d,data/processed/images/aptos/aptos__c3165be811e0022d.jpg,224,224,JPEG,already_exists
aptos__b8e514de8ab3e66b,data/processed/images/aptos/aptos__b8e514de8ab3e66b.jpg,224,224,JPEG,already_exists
aptos__fbc7cdd4824100a7,data/processed/images/aptos/aptos__fbc7cdd4824100a7.jpg,224,224,JPEG,already_exists
aptos__c8827d05711175da,data/processed/images/aptos/aptos__c8827d05711175da.jpg,224,224,JPEG,already_exists
aptos__ae12318b55d84419,data/processed/images/aptos/aptos__ae12318b55d84419.jpg,224,224,JPEG,already_exists
aptos__581738914686b111,data/processed/images/aptos/aptos__581738914686b111.jpg,224,224,JPEG,already_exists
aptos__7cc6d7019d550072,data/processed/images/aptos/aptos__7cc6d7019d550072.jpg,224,224,JPEG,already_exists
aptos__36b2b6bb74579f7d,data/processed/images/aptos/aptos__36b2b6bb74579f7d.jpg,224,224,JPEG,already_exists
aptos__9b0b1f3110f4a445,data/processed/images/aptos/aptos__9b0b1f3110f4a445.jpg,224,224,JPEG,already_exists
aptos__11b2efaae2c39263,data/processed/images/aptos/aptos__11b2efaae2c39263.jpg,224,224,JPEG,already_exists
aptos__de338498cda5a374,data/processed/images/aptos/aptos__de338498cda5a374.jpg,224,224,JPEG,already_exists
aptos__8f6d8ec9ae6dd0d1,data/processed/images/aptos/aptos__8f6d8ec9ae6dd0d1.jpg,224,224,JPEG,already_exists
aptos__54946c4089ddaf27,data/processed/images/aptos/aptos__54946c4089ddaf27.jpg,224,224,JPEG,already_exists
aptos__4e470259930f40a6,data/processed/images/aptos/aptos__4e470259930f40a6.jpg,224,224,JPEG,already_exists
aptos__f32f7135ed4b1396,data/processed/images/aptos/aptos__f32f7135ed4b1396.jpg,224,224,JPEG,already_exists
aptos__38a440c80d6c1dfa,data/processed/images/aptos/aptos__38a440c80d6c1dfa.jpg,224,224,JPEG,already_exists
aptos__eed0d05561c9b604,data/processed/images/aptos/aptos__eed0d05561c9b604.jpg,224,224,JPEG,already_exists
aptos__6ce14f7a48048daf,data/processed/images/aptos/aptos__6ce14f7a48048daf.jpg,224,224,JPEG,already_exists
aptos__7216f7b00290cae8,data/processed/images/aptos/aptos__7216f7b00290cae8.jpg,224,224,JPEG,already_exists
aptos__9ee0f282dfbe9e5f,data/processed/images/aptos/aptos__9ee0f282dfbe9e5f.jpg,224,224,JPEG,already_exists
aptos__2f28c41bbe46f2d1,data/processed/images/aptos/aptos__2f28c41bbe46f2d1.jpg,224,224,JPEG,already_exists
aptos__8a58801bb4e89fda,data/processed/images/aptos/aptos__8a58801bb4e89fda.jpg,224,224,JPEG,already_exists
aptos__2a1c2e5e9b4f774b,data/processed/images/aptos/aptos__2a1c2e5e9b4f774b.jpg,224,224,JPEG,already_exists
aptos__f9409e06017fe46c,data/processed/images/aptos/aptos__f9409e06017fe46c.jpg,224,224,JPEG,already_exists
aptos__7f05f5c8d8f230b5,data/processed/images/aptos/aptos__7f05f5c8d8f230b5.jpg,224,224,JPEG,already_exists
aptos__3cb524b929314043,data/processed/images/aptos/aptos__3cb524b929314043.jpg,224,224,JPEG,already_exists
aptos__491f28a21f9ed6ef,data/processed/images/aptos/aptos__491f28a21f9ed6ef.jpg,224,224,JPEG,already_exists
aptos__842d170d38bd5f85,data/processed/images/aptos/aptos__842d170d38bd5f85.jpg,224,224,JPEG,already_exists
aptos__2bc5841cf5eee5f8,data/processed/images/aptos/aptos__2bc5841cf5eee5f8.jpg,224,224,JPEG,already_exists
aptos__99aa3dbf3dff7c9a,data/processed/images/aptos/aptos__99aa3dbf3dff7c9a.jpg,224,224,JPEG,already_exists
aptos__d45c3d138733d7a3,data/processed/images/aptos/aptos__d45c3d138733d7a3.jpg,224,224,JPEG,already_exists
aptos__2b8228ecc008b575,data/processed/images/aptos/aptos__2b8228ecc008b575.jpg,224,224,JPEG,already_exists
aptos__0052c7ae813e90a6,data/processed/images/aptos/aptos__0052c7ae813e90a6.jpg,224,224,JPEG,already_exists
aptos__73fd205e1180581e,data/processed/images/aptos/aptos__73fd205e1180581e.jpg,224,224,JPEG,already_exists
aptos__6dc4fa7b6409c174,data/processed/images/aptos/aptos__6dc4fa7b6409c174.jpg,224,224,JPEG,already_exists
aptos__7d7a99252a3eac51,data/processed/images/aptos/aptos__7d7a99252a3eac51.jpg,224,224,JPEG,already_exists
aptos__b4efa4237abd0a5c,data/processed/images/aptos/aptos__b4efa4237abd0a5c.jpg,224,224,JPEG,already_exists
aptos__19711e7adc1d0ba0,data/processed/images/aptos/aptos__19711e7adc1d0ba0.jpg,224,224,JPEG,already_exists
aptos__b1ddb824210821a0,data/processed/images/aptos/aptos__b1ddb824210821a0.jpg,224,224,JPEG,already_exists
aptos__9c176ef1905d2670,data/processed/images/aptos/aptos__9c176ef1905d2670.jpg,224,224,JPEG,already_exists
aptos__807591d0c4e4d4c9,data/processed/images/aptos/aptos__807591d0c4e4d4c9.jpg,224,224,JPEG,already_exists
aptos__5b522a956fe390b7,data/processed/images/aptos/aptos__5b522a956fe390b7.jpg,224,224,JPEG,already_exists
aptos__09669930094c99d8,data/processed/images/aptos/aptos__09669930094c99d8.jpg,224,224,JPEG,already_exists
aptos__1729365622728552,data/processed/images/aptos/aptos__1729365622728552.jpg,224,224,JPEG,already_exists
aptos__e3522d1446a63efd,data/processed/images/aptos/aptos__e3522d1446a63efd.jpg,224,224,JPEG,already_exists
aptos__98d7794d8df91c6b,data/processed/images/aptos/aptos__98d7794d8df91c6b.jpg,224,224,JPEG,already_exists
aptos__b99722cf55a3311b,data/processed/images/aptos/aptos__b99722cf55a3311b.jpg,224,224,JPEG,already_exists
aptos__4329720c3cf8da8a,data/processed/images/aptos/aptos__4329720c3cf8da8a.jpg,224,224,JPEG,already_exists
aptos__bba0539bcedb6694,data/processed/images/aptos/aptos__bba0539bcedb6694.jpg,224,224,JPEG,already_exists
aptos__7e98561935b2fd94,data/processed/images/aptos/aptos__7e98561935b2fd94.jpg,224,224,JPEG,already_exists
aptos__9c1114644528d485,data/processed/images/aptos/aptos__9c1114644528d485.jpg,224,224,JPEG,already_exists
aptos__0c1dc4301f55b92d,data/processed/images/aptos/aptos__0c1dc4301f55b92d.jpg,224,224,JPEG,already_exists
aptos__36b74d48029f81e5,data/processed/images/aptos/aptos__36b74d48029f81e5.jpg,224,224,JPEG,already_exists
aptos__14e83c87d99f5754,data/processed/images/aptos/aptos__14e83c87d99f5754.jpg,224,224,JPEG,already_exists
aptos__7a1eee1f1ac93a1e,data/processed/images/aptos/aptos__7a1eee1f1ac93a1e.jpg,224,224,JPEG,already_exists
aptos__038fbfc9f5868df8,data/processed/images/aptos/aptos__038fbfc9f5868df8.jpg,224,224,JPEG,already_exists
aptos__5597441be1a862e6,data/processed/images/aptos/aptos__5597441be1a862e6.jpg,224,224,JPEG,already_exists
aptos__30d0b96c9187fb65,data/processed/images/aptos/aptos__30d0b96c9187fb65.jpg,224,224,JPEG,already_exists
aptos__7c09a5acb0cfc1b9,data/processed/images/aptos/aptos__7c09a5acb0cfc1b9.jpg,224,224,JPEG,already_exists
aptos__431f380c3f6755dd,data/processed/images/aptos/aptos__431f380c3f6755dd.jpg,224,224,JPEG,already_exists
aptos__15fe81c26072810a,data/processed/images/aptos/aptos__15fe81c26072810a.jpg,224,224,JPEG,already_exists
aptos__ee4a10d596ad008a,data/processed/images/aptos/aptos__ee4a10d596ad008a.jpg,224,224,JPEG,already_exists
aptos__c60239fb6aa7dfe3,data/processed/images/aptos/aptos__c60239fb6aa7dfe3.jpg,224,224,JPEG,already_exists
aptos__32e21df0e640b0aa,data/processed/images/aptos/aptos__32e21df0e640b0aa.jpg,224,224,JPEG,already_exists
aptos__a2d47043ba59ce1f,data/processed/images/aptos/aptos__a2d47043ba59ce1f.jpg,224,224,JPEG,already_exists
aptos__92c7c361c8e38a16,data/processed/images/aptos/aptos__92c7c361c8e38a16.jpg,224,224,JPEG,already_exists
aptos__5135b498f8334a8c,data/processed/images/aptos/aptos__5135b498f8334a8c.jpg,224,224,JPEG,already_exists
aptos__64f165453c45bd4e,data/processed/images/aptos/aptos__64f165453c45bd4e.jpg,224,224,JPEG,already_exists
aptos__23f660ff3739946e,data/processed/images/aptos/aptos__23f660ff3739946e.jpg,224,224,JPEG,already_exists
aptos__aae5c0f91267a5ca,data/processed/images/aptos/aptos__aae5c0f91267a5ca.jpg,224,224,JPEG,already_exists
aptos__4a2effbded22f4e6,data/processed/images/aptos/aptos__4a2effbded22f4e6.jpg,224,224,JPEG,already_exists
aptos__3b74b199f643d8b9,data/processed/images/aptos/aptos__3b74b199f643d8b9.jpg,224,224,JPEG,already_exists
aptos__58978a5a5aa691c1,data/processed/images/aptos/aptos__58978a5a5aa691c1.jpg,224,224,JPEG,already_exists
aptos__450e798a772e023f,data/processed/images/aptos/aptos__450e798a772e023f.jpg,224,224,JPEG,already_exists
aptos__a9a87c1ed0811e07,data/processed/images/aptos/aptos__a9a87c1ed0811e07.jpg,224,224,JPEG,already_exists
aptos__081e28a6bb5187e5,data/processed/images/aptos/aptos__081e28a6bb5187e5.jpg,224,224,JPEG,already_exists
aptos__4d2c1f0faf53e6f9,data/processed/images/aptos/aptos__4d2c1f0faf53e6f9.jpg,224,224,JPEG,already_exists
aptos__8001a2c1cee48cf5,data/processed/images/aptos/aptos__8001a2c1cee48cf5.jpg,224,224,JPEG,already_exists
aptos__2f48f01364d42c51,data/processed/images/aptos/aptos__2f48f01364d42c51.jpg,224,224,JPEG,already_exists
aptos__00a3650a86b1709c,data/processed/images/aptos/aptos__00a3650a86b1709c.jpg,224,224,JPEG,already_exists
